playcounts,name,fav,introduce,director,step,actor
,囚爱,,简介：阮清恬得知母亲死讯，才从国外回来不久，独自一人生活。这天一早起来，如往常一样洗漱穿衣，擦拭刚刚摆在桌上的母亲的黑白照片，正在伤感中，一阵急促地敲门声袭来，将阮清恬吓了一跳。打开门，任浩铭站在门外，看到冰清玉洁的阮清恬一愣，两人心中竟都有些异样。这时，身旁的助理招呼着手下人把这个家的东西都搬走！,褚会林,,"孙玮伦,冯芷墨"
,寻龙密码之真假龙穴,,简介：龙，在中国神话里经常出现的生物，但却无法证明其存在。龙是中华民族的图腾，是帝王的象征。关于龙的传说在民间也是数不胜数……张星棋家族世代都跟龙有关，家里传下来的一块龙骨引起了张星棋和死党李子平的兴趣，进而萌发了寻找家族秘密的旅程，和一直守护着张家的鬼爷一起，慢慢揭开了太行山龙脉的秘密，却不知背后隐藏着一个巨大的阴谋……,冯浩磊,,"齐超,桑娜,苗栋"
,少女的私房逆吻,,简介：18岁的少女张欣宜（怡）品学兼优，同学彦子超向她写情书被其母发现，并导致其被学校开除。彦子超怀恨在心，预谋强奸了她，并导致怀孕。张向男友向良求助，向良不仅不帮助她，同时还私配药物要将为堕胎。张欣宜在女同学的帮助下对彦子超和向良展开了疯狂的报复，同时也深陷有女同倾向的女同学杜小月的泥沼……,安书凡,,"杨林果,谢云梓,宋昭坤,吴奇翰"
,疯狂浪人,,简介：故事讲述了一位神秘的行者浪人在途中经过一个村庄，一位不甘作井底之蛙地年轻姑娘被迫在当地痞子王开设的酒吧中工作，在所有人眼里子墨就是痞子王的女人，可子墨不这么想，浪人林风遇见了子墨，子墨对林风一见钟情，并有了亲密关系，子墨决心要跟林风浪迹天涯逃离这个庸俗之地，而林风也想抱打不平，此事惹怒了痞子王且就此展开了夺爱绝命追逃。 直到片地鳞伤、两败俱伤，没有想到的是子墨选择了放弃离开，疯狂的浪人继续前行去往他的目的地。,潘润南,,"潘冬,林风,段冉,痞子王冲,戴露,子墨"
,换种方式,,简介：影片《换种方式》讲述的是一个浪漫却又虐心的爱情故事，从上海回来寻根的彝族女孩周若男在关注一个微信公众号后置身来到红土地，与公众号编辑、从北京来红土地定居的画家陆海清巧遇，认识一直陪在陆海清身边的当地彝族女孩阿莎依，三人在这片绚烂的红土地上展开了一系列幽默、动人的故事！该片不仅以红土地为拍摄背景，同时选取了两区的其他著名景点为拍摄地，其中轿子雪山、转龙蒋家大院、彝族村落乐尼白等等，这些都给影片增加了更为神秘的色彩！,张穆,,"孙木子易,李昱晓"
,僵尸侠,,简介：胡一八与王胖子是大学同学，他们为了女神杨子怡来北京做北漂一族。因为没有钱，二人选择在天桥上给人看风水算命骗钱，王胖子给胡一八当托儿，被路人识破，胡一八与王胖子为此大吵一架。就在两人绝望之时，一位神色匆匆的老太太找到两人，表示愿意出钱请胡一八帮忙驱鬼。回到出租屋，胡一八与王胖子因为饥肠辘辘而不能入睡，此时隔壁房间传来“啪啪啪”的声响，夹杂着女人的呻吟，二人痛苦却又享受。次日清晨，胡一八与王胖子正在为要不要再去天桥上摆摊骗人而纠结，此时女神杨子怡出现在二人面前，杨子怡说明来意，她的弟弟杨大葱因为去金乡村探险失踪，希望胡一八能帮忙找到杨大葱。三人来到金乡村，在恐怖幽闭的村子里，三人与僵尸一家三口发生了一系列恐怖，搞笑的事情……,邓安东,,"卢沁希,何映桥,舒强,姜嘉辰,李洪潇,梦然"
,欲望森林,,简介：青春期往往伴随着躁动、叛逆、迷惘，对异性的向往，对性的懵懂，以及对未来的无知无虑。浮躁、奢靡、钢筋丛林这是一个充满欲望的都市，迷幻的酒吧，广场的洗手间，离异家庭，破旧的公寓，青春的面容像幽灵一样在这样的地方飘荡消逝，人生也就这样被一针一针的注射进毒液直至溃烂，这是万劫不复的深渊。本片讲述了少女陈静从吸毒到卖淫，一步步走向迷幻堕落的故事。,宣扬,,"贾雪,张凌云,周大生"
,我的少男时代,,简介：该片以男主视角回忆校园高中时期各种奇葩同学及校园趣事，年轻的时候并不懂爱，也不知道如何相处，有过很多愉快的经历，也闹过一些矛盾，但这些都是男主角心中最美的回忆。直到最近的一次同学聚会，男主角才发现，现实与记忆的差别，而那种记忆中的美好，也只能停留在记忆中了。,丑丑倪,,"田理,叶思浵"
,欲界,,简介：习武之人刘大梁被经济问题困扰，一天一身疲惫下班回到家却发现自己背包里的武术道具变成了巨款及毒品。女朋友发现后认为大梁误入歧途便失望提出分手，在情绪极度失落之下面对这笔突如其来的横财大梁和好友潘子商量后决定将其据为己有，却难料卷入黑帮团伙的争斗引来杀身之祸。,曹一川,,"曹一川,杨世洪,熊玉珠,张焕伟,吕宁,马英,王佳文,单永彬,袁小春"
,一云道长,,简介：月黑风高之夜，古镜封印阵法被破坏，千年大BOSS僵尸出世，古镜之灵被释放。警察刘珂和其伙伴张小浩无意发现古镜，随后镜灵和刘珂两人发生一段凄美之恋，僵尸吸血害死人，法力高强的一雲道长与刘珂合作准备消灭僵尸，谁料黑社会朱老大搞破坏，迫使恶灵被释放、僵尸逃走。术士苗鑫和朱老大利用僵尸来对付刘珂和一雲道长，两方之间展开了一场世纪大战。,陈冲,,"陈冲,刘海涛,杨子萱,付龙宇,朱广辉,张治国"
,白日杀机2,,简介：承接第一部，化工厂爆炸，陈伟丢下艾菲，独自逃走，为了逃避，陈伟整容换了面孔，却一直活在心虚和劫后余生的心悸中。艾菲被大怪物救了后，帮大怪物整容，取名沙尘，一起设计对陈伟的复仇计划。沙尘在计划中与陈伟老婆秦秦偶遇，俩人记得对方是儿时青梅竹马的伙伴，却又不敢相认。对陈伟的复仇计划稳步进行，就在艾菲认为复仇即将成功时却没有发现，一切都已出乎她的意料之外，而暗中，还有一双邪恶的眼睛一直紧紧的凝视着她……,王晰,,"张仟,王紫,颜敬杰,唐秦"
,丧尸肖恩,,简介：十年前的《丧尸肖恩》续集致敬版。国内首部狂犬病丧尸题材电影，本来幸福生活的肖恩和艾米，遭遇胖子突然状况，情势紧急，全城封锁！,吕磊,,"傅筱,甘昀宸,齐一磊,龚芳妮"
,嘻哈西游之五指山,,简介：新媒体电影《嘻哈西游之五指山》故事取材于《西游记》中唐僧在五指山相遇孙悟空的章节。故事以孙悟空和紫霞被挟持开始，劫匪绑架了孙悟空和紫霞，一同来到五指山客栈投宿，没想到这竟是猪八戒和老沙合伙经营的黑店！他们总想着给客人下药.......碰巧唐三藏要去西天取经，路过五指山，不巧又有一群妖怪想吃唐三藏，他们抓唐三藏抓到了五指山客栈，却不知，五指山客栈已经鱼龙混杂！一系列啼笑皆非的情节由此展开....,李葱,,"于小鱼,杨文,程芳"
